system,case_id,faithfulness,answer_relevancy,context_precision,context_recall
internal_rag,event_summary_001,1.0,0.6815,1.0,1.0
internal_rag,event_summary_002,1.0,0.8261,1.0,0.6
internal_rag,event_summary_004,0.6667,0.7669,1.0,1.0
internal_rag,event_summary_006,1.0,0.7972,1.0,1.0
internal_rag,event_summary_007,1.0,0.7427,1.0,0.8
internal_rag,event_summary_009,1.0,0.8077,1.0,1.0
internal_rag,questanswer_1doc_001,1.0,0.724,1.0,1.0
internal_rag,questanswer_1doc_002,1.0,0.9363,1.0,1.0
internal_rag,questanswer_1doc_004,1.0,0.8363,1.0,1.0
internal_rag,questanswer_1doc_006,1.0,0.7912,1.0,1.0
internal_rag,questanswer_1doc_007,1.0,0.7168,1.0,1.0
internal_rag,questanswer_1doc_009,0.25,0.9985,1.0,1.0
internal_rag,questanswer_2docs_001,1.0,0.8147,1.0,0.5
internal_rag,questanswer_2docs_002,1.0,0.9534,1.0,1.0
internal_rag,questanswer_2docs_004,1.0,0.778,1.0,1.0
internal_rag,questanswer_2docs_006,1.0,0.918,0.3333,1.0
internal_rag,questanswer_2docs_007,1.0,0.8588,1.0,1.0
internal_rag,questanswer_2docs_009,0.6667,0.9706,1.0,1.0
internal_rag,questanswer_3docs_001,1.0,0.9429,1.0,1.0
internal_rag,questanswer_3docs_002,1.0,0.9198,1.0,0.5
internal_rag,questanswer_3docs_004,1.0,0.8392,1.0,1.0
internal_rag,questanswer_3docs_006,1.0,0.9066,0.8333,1.0
internal_rag,questanswer_3docs_007,1.0,0.9279,1.0,1.0
internal_rag,questanswer_3docs_009,0.5,0.9308,1.0,1.0
llamaindex,event_summary_001,1.0,0.7164,1.0,1.0
llamaindex,event_summary_002,1.0,0.7763,1.0,0.8
llamaindex,event_summary_004,nan,0.702,1.0,1.0
llamaindex,event_summary_006,0.8,0.78,1.0,0.8
llamaindex,event_summary_007,nan,0.8443,1.0,0.5
llamaindex,event_summary_009,1.0,0.7212,1.0,1.0
llamaindex,questanswer_1doc_001,0.6667,0.7474,1.0,1.0
llamaindex,questanswer_1doc_002,1.0,0.9363,1.0,1.0
llamaindex,questanswer_1doc_004,0.6667,0.0,0.0,0.0
llamaindex,questanswer_1doc_006,1.0,0.7909,1.0,1.0
llamaindex,questanswer_1doc_007,1.0,0.795,1.0,1.0
llamaindex,questanswer_1doc_009,1.0,0.9841,1.0,1.0
llamaindex,questanswer_2docs_001,1.0,0.9354,1.0,1.0
llamaindex,questanswer_2docs_002,1.0,0.9576,0.5,1.0
llamaindex,questanswer_2docs_004,0.8889,0.9121,1.0,1.0
llamaindex,questanswer_2docs_006,1.0,0.8893,0.0,0.4
llamaindex,questanswer_2docs_007,0.8,0.9223,1.0,1.0
llamaindex,questanswer_2docs_009,nan,0.9721,1.0,1.0
llamaindex,questanswer_3docs_001,1.0,0.9472,1.0,1.0
llamaindex,questanswer_3docs_002,nan,0.9203,1.0,1.0
llamaindex,questanswer_3docs_004,1.0,0.0,1.0,1.0
llamaindex,questanswer_3docs_006,1.0,0.7535,0.5833,1.0
llamaindex,questanswer_3docs_007,1.0,0.9298,1.0,1.0
llamaindex,questanswer_3docs_009,0.75,0.9526,1.0,0.5
